Citizen_ID,District,Age,Gender,Community,Annual_Income,Ration_Card_Type,Education_Level,Occupation,Land_Holding_Acres,Marital_Status,Disability_Status,SHG_Member,Eligible_Scheme
TN-TIR-610947,Tirunelveli,20,Female,SC,33624,PHH,10th Pass,Student,0,Single,0,1,Mahalir Thittam (SHG Loan Scheme)
TN-MAD-876349,Madurai,73,Male,SC,114987,PHH,8th Pass,Unemployed,0,Married,0,0,Indira Gandhi National Old Age Pension
TN-KAN-853703,Kanyakumari,43,Female,SC,23957,PHH,Diploma,Unemployed,0,Married,0,0,Not Eligible / General Public
TN-TIR-500902,Tirunelveli,38,Male,BC,45064,AAY,10th Pass,Self-Employed,0,Married,0,0,Not Eligible / General Public
TN-THO-253029,Thoothukudi,64,Male,BC,47865,PHH,8th Pass,Agriculture,4.3,Married,0,0,Indira Gandhi National Old Age Pension
TN-TIR-805357,Tirunelveli,59,Female,MBC,102209,PHH,12th Pass,Daily Wage,0,Widow,0,0,Destitute Widow Pension Scheme
TN-THO-887928,Thoothukudi,81,Female,MBC,55205,PHH,Illiterate,Unemployed,0,Widow,0,1,Destitute Widow Pension Scheme
TN-SIV-602102,Sivaganga,24,Female,SC,245667,NPHH,10th Pass,Daily Wage,0,Married,0,1,Mahalir Thittam (SHG Loan Scheme)
TN-THE-371955,Theni,82,Female,MBC,24869,PHH,12th Pass,Unemployed,0,Married,0,0,Indira Gandhi National Old Age Pension
TN-DIN-589265,Dindigul,35,Female,MBC,87476,PHH,Illiterate,Agriculture,4,Married,0,0,Kalaignarin Kanavu Illam (Housing)
TN-THO-859999,Thoothukudi,84,Male,BC,28202,PHH,10th Pass,Unemployed,0,Married,0,0,Indira Gandhi National Old Age Pension
TN-SIV-517947,Sivaganga,62,Female,SC,50622,PHH,10th Pass,Unemployed,0,Single,0,0,Indira Gandhi National Old Age Pension
TN-DIN-846086,Dindigul,52,Male,MBC,118058,PHH,12th Pass,Daily Wage,0,Married,0,0,Kalaignarin Kanavu Illam (Housing)
TN-DIN-122945,Dindigul,26,Female,BC,33076,PHH,Illiterate,Agriculture,4.1,Separated,0,1,Mahalir Thittam (SHG Loan Scheme)
TN-MAD-512297,Madurai,40,Female,BC,26219,PHH,10th Pass,Agriculture,3.6,Married,0,0,Kalaignarin Kanavu Illam (Housing)
TN-SIV-776579,Sivaganga,57,Female,SC,80199,PHH,10th Pass,Daily Wage,0,Married,0,0,Kalaignarin Kanavu Illam (Housing)
TN-VIR-232764,Virudhunagar,79,Female,BC,41342,PHH,12th Pass,Unemployed,0,Married,0,1,Indira Gandhi National Old Age Pension
TN-KAN-258266,Kanyakumari,65,Male,MBC,210535,NPHH,8th Pass,Unemployed,0,Married,0,0,Not Eligible / General Public
TN-TEN-123105,Tenkasi,80,Female,BC,141124,NPHH,12th Pass,Unemployed,0,Widow,0,1,Not Eligible / General Public
TN-MAD-403514,Madurai,18,Male,MBC,41647,AAY,10th Pass,Student,0,Single,0,0,Not Eligible / General Public
TN-SIV-407232,Sivaganga,31,Female,MBC,66771,PHH,Illiterate,Agriculture,3.3,Single,0,1,Mahalir Thittam (SHG Loan Scheme)
TN-SIV-492837,Sivaganga,38,Female,BC,50747,PHH,12th Pass,Agriculture,0.7,Widow,0,0,Destitute Widow Pension Scheme
TN-SIV-967841,Sivaganga,73,Female,MBC,96736,PHH,8th Pass,Unemployed,0,Married,0,1,Indira Gandhi National Old Age Pension
TN-KAN-921949,Kanyakumari,56,Male,SC,91278,PHH,8th Pass,Weaver,0,Single,0,0,Not Eligible / General Public
TN-DIN-448062,Dindigul,22,Female,SC,88948,PHH,Illiterate,Agriculture,0.9,Married,0,0,Uzhavar Pathukappu Thittam (Marginal Farmer)
TN-KAN-629244,Kanyakumari,36,Female,BC,18145,PHH,Illiterate,Agriculture,3.4,Married,0,1,Mahalir Thittam (SHG Loan Scheme)
TN-TIR-375737,Tirunelveli,48,Male,MBC,21562,PHH,8th Pass,Agriculture,0.9,Married,0,0,Uzhavar Pathukappu Thittam (Marginal Farmer)
TN-THO-741255,Thoothukudi,72,Male,BC,37622,AAY,8th Pass,Unemployed,0,Married,0,0,Indira Gandhi National Old Age Pension
TN-KAN-993553,Kanyakumari,59,Male,SC,56785,PHH,8th Pass,Agriculture,4.3,Married,0,0,Kalaignarin Kanavu Illam (Housing)
TN-THE-860954,Theni,31,Female,SC,54342,PHH,12th Pass,Agriculture,2.1,Separated,0,1,Uzhavar Pathukappu Thittam (Marginal Farmer)
TN-KAN-815114,Kanyakumari,72,Female,MBC,66209,PHH,8th Pass,Unemployed,0,Married,0,0,Indira Gandhi National Old Age Pension
TN-MAD-618325,Madurai,21,Female,BC,67616,PHH,Illiterate,Student,0,Married,0,0,Not Eligible / General Public
TN-RAM-107887,Ramanathapuram,22,Male,BC,24143,AAY,10th Pass,Agriculture,2.5,Widow,0,0,Uzhavar Pathukappu Thittam (Marginal Farmer)
TN-THE-791467,Theni,48,Male,ST,18328,PHH,8th Pass,Self-Employed,0,Single,0,0,Not Eligible / General Public
TN-MAD-255763,Madurai,82,Male,BC,30834,PHH,8th Pass,Unemployed,0,Married,0,0,Indira Gandhi National Old Age Pension
TN-SIV-861606,Sivaganga,64,Female,BC,63761,PHH,10th Pass,Agriculture,4.5,Married,0,1,Indira Gandhi National Old Age Pension
TN-DIN-322203,Dindigul,32,Male,General,20125,PHH,8th Pass,Agriculture,4.9,Married,0,0,Kalaignarin Kanavu Illam (Housing)
TN-DIN-548649,Dindigul,19,Female,MBC,57750,AAY,8th Pass,Student,0,Single,0,1,Mahalir Thittam (SHG Loan Scheme)
TN-THE-317459,Theni,47,Male,BC,23784,PHH,Illiterate,Agriculture,2.6,Married,0,0,Kalaignarin Kanavu Illam (Housing)
TN-TEN-468846,Tenkasi,33,Male,SC,22165,AAY,12th Pass,Agriculture,2.3,Married,0,0,Uzhavar Pathukappu Thittam (Marginal Farmer)
TN-THO-813442,Thoothukudi,82,Male,BC,58895,PHH,Illiterate,Unemployed,0,Married,0,0,Indira Gandhi National Old Age Pension
TN-KAN-307600,Kanyakumari,65,Male,BC,86285,PHH,Illiterate,Unemployed,0,Widow,0,0,Indira Gandhi National Old Age Pension
TN-RAM-873449,Ramanathapuram,78,Male,BC,36214,PHH,10th Pass,Unemployed,0,Widow,0,0,Indira Gandhi National Old Age Pension
TN-TIR-667258,Tirunelveli,30,Female,MBC,88164,PHH,Illiterate,Agriculture,2.1,Single,0,0,Uzhavar Pathukappu Thittam (Marginal Farmer)
TN-KAN-930142,Kanyakumari,80,Female,SC,38624,PHH,Graduate,Unemployed,0,Widow,0,0,Destitute Widow Pension Scheme
TN-DIN-612768,Dindigul,43,Female,BC,39254,PHH,Graduate,Unemployed,0,Married,0,0,Not Eligible / General Public
TN-DIN-314018,Dindigul,64,Male,BC,92905,PHH,8th Pass,Daily Wage,0,Married,0,0,Indira Gandhi National Old Age Pension
TN-RAM-990021,Ramanathapuram,52,Female,MBC,112684,PHH,10th Pass,Daily Wage,0,Single,0,1,Mahalir Thittam (SHG Loan Scheme)
TN-TIR-112898,Tirunelveli,36,Female,MBC,178086,NPHH,Diploma,Agriculture,0.7,Married,1,0,Differently Abled Pension Scheme
TN-THO-399052,Thoothukudi,42,Male,BC,44197,PHH,10th Pass,Weaver,0,Separated,0,0,Not Eligible / General Public
TN-MAD-201605,Madurai,76,Female,MBC,178305,NPHH,12th Pass,Unemployed,0,Married,0,1,Not Eligible / General Public
TN-VIR-495754,Virudhunagar,57,Female,MBC,17041,PHH,8th Pass,Daily Wage,0,Married,0,0,Kalaignarin Kanavu Illam (Housing)
TN-KAN-376881,Kanyakumari,58,Female,SC,36925,PHH,Illiterate,Agriculture,3.1,Widow,0,0,Destitute Widow Pension Scheme
TN-KAN-353348,Kanyakumari,65,Female,BC,66445,PHH,Illiterate,Unemployed,0,Widow,0,0,Destitute Widow Pension Scheme
TN-KAN-612696,Kanyakumari,34,Female,SC,52611,PHH,10th Pass,Daily Wage,0,Married,0,0,Kalaignarin Kanavu Illam (Housing)
TN-TEN-702021,Tenkasi,75,Female,MBC,40995,PHH,Graduate,Unemployed,0,Married,0,0,Indira Gandhi National Old Age Pension
TN-THE-232723,Theni,37,Male,BC,66348,AAY,10th Pass,Daily Wage,0,Single,1,0,Differently Abled Pension Scheme
TN-TIR-442799,Tirunelveli,53,Female,BC,89114,PHH,8th Pass,Unemployed,0,Married,0,1,Mahalir Thittam (SHG Loan Scheme)
TN-RAM-873750,Ramanathapuram,56,Male,MBC,34550,PHH,10th Pass,Agriculture,1.2,Married,0,0,Uzhavar Pathukappu Thittam (Marginal Farmer)
TN-THE-385539,Theni,52,Female,MBC,60846,PHH,Graduate,Unemployed,0,Single,0,0,Not Eligible / General Public
TN-SIV-145157,Sivaganga,24,Female,SC,36742,AAY,8th Pass,Unemployed,0,Single,0,0,Not Eligible / General Public
TN-TIR-137952,Tirunelveli,63,Male,MBC,39461,PHH,Graduate,Daily Wage,0,Married,0,0,Indira Gandhi National Old Age Pension
TN-DIN-438427,Dindigul,51,Female,SC,19294,PHH,Illiterate,Agriculture,2.4,Widow,0,1,Destitute Widow Pension Scheme
TN-SIV-137145,Sivaganga,17,Female,MBC,40435,PHH,8th Pass,Student,0,Single,0,0,Not Eligible / General Public
TN-VIR-959869,Virudhunagar,31,Female,MBC,26049,PHH,8th Pass,Agriculture,4.8,Married,0,1,Mahalir Thittam (SHG Loan Scheme)
TN-VIR-279704,Virudhunagar,47,Male,BC,45948,PHH,8th Pass,Agriculture,4.7,Married,0,0,Kalaignarin Kanavu Illam (Housing)
TN-RAM-365149,Ramanathapuram,65,Male,SC,23967,AAY,8th Pass,Unemployed,0,Single,0,0,Indira Gandhi National Old Age Pension
TN-SIV-918326,Sivaganga,80,Male,General,42758,AAY,8th Pass,Unemployed,0,Married,0,0,Indira Gandhi National Old Age Pension
TN-THO-893019,Thoothukudi,39,Male,MBC,40902,AAY,10th Pass,Agriculture,2.1,Married,0,0,Uzhavar Pathukappu Thittam (Marginal Farmer)
TN-RAM-237178,Ramanathapuram,23,Female,SC,67644,PHH,10th Pass,Weaver,0,Single,0,0,Not Eligible / General Public
TN-RAM-741032,Ramanathapuram,28,Male,MBC,106056,PHH,12th Pass,Daily Wage,0,Married,0,0,Kalaignarin Kanavu Illam (Housing)
TN-MAD-361345,Madurai,31,Female,BC,110339,PHH,Graduate,Daily Wage,0,Married,0,1,Mahalir Thittam (SHG Loan Scheme)
TN-RAM-716202,Ramanathapuram,62,Male,SC,44511,PHH,8th Pass,Agriculture,1.2,Married,0,0,Indira Gandhi National Old Age Pension
TN-KAN-384446,Kanyakumari,56,Female,SC,51857,PHH,12th Pass,Daily Wage,0,Married,0,0,Kalaignarin Kanavu Illam (Housing)
TN-DIN-676004,Dindigul,77,Male,BC,66416,PHH,Illiterate,Unemployed,0,Married,0,0,Indira Gandhi National Old Age Pension
TN-DIN-516470,Dindigul,39,Male,BC,47372,PHH,8th Pass,Agriculture,3.1,Widow,0,0,MGNREGS (100 Days Rural Employment)
TN-RAM-919954,Ramanathapuram,65,Female,BC,111919,PHH,12th Pass,Unemployed,0,Married,0,0,Indira Gandhi National Old Age Pension
TN-KAN-726078,Kanyakumari,22,Female,BC,48495,PHH,10th Pass,Agriculture,2.8,Separated,0,0,MGNREGS (100 Days Rural Employment)
TN-RAM-344562,Ramanathapuram,31,Female,MBC,46126,AAY,12th Pass,Agriculture,2,Single,0,1,Uzhavar Pathukappu Thittam (Marginal Farmer)
TN-THO-462367,Thoothukudi,23,Female,BC,225416,NPHH,12th Pass,Agriculture,4.4,Married,0,0,Pudhumai Penn Scheme (Moovalur Ramamirtham)
TN-VIR-926096,Virudhunagar,18,Male,General,47312,PHH,Graduate,Student,0,Single,0,0,Not Eligible / General Public
TN-VIR-911467,Virudhunagar,66,Female,MBC,62674,PHH,8th Pass,Unemployed,0,Married,0,0,Indira Gandhi National Old Age Pension
TN-KAN-926144,Kanyakumari,58,Female,BC,21902,PHH,Illiterate,Daily Wage,0,Married,0,0,Kalaignarin Kanavu Illam (Housing)
TN-THO-183368,Thoothukudi,69,Female,BC,68008,PHH,12th Pass,Unemployed,0,Married,0,0,Indira Gandhi National Old Age Pension
TN-VIR-950826,Virudhunagar,18,Female,SC,58459,PHH,Illiterate,Student,0,Single,0,1,Mahalir Thittam (SHG Loan Scheme)
TN-MAD-321150,Madurai,50,Male,MBC,70074,PHH,Diploma,Weaver,0,Married,0,0,Not Eligible / General Public
TN-THO-724863,Thoothukudi,28,Male,BC,51735,AAY,12th Pass,Agriculture,3.7,Single,0,0,MGNREGS (100 Days Rural Employment)
TN-SIV-751627,Sivaganga,78,Male,MBC,21401,AAY,12th Pass,Unemployed,0,Widow,1,0,Differently Abled Pension Scheme
TN-MAD-745812,Madurai,54,Female,BC,27667,PHH,8th Pass,Daily Wage,0,Married,0,1,Mahalir Thittam (SHG Loan Scheme)
TN-RAM-661448,Ramanathapuram,19,Female,BC,70223,PHH,10th Pass,Student,0,Single,0,1,Mahalir Thittam (SHG Loan Scheme)
TN-SIV-598519,Sivaganga,73,Male,MBC,37719,PHH,12th Pass,Unemployed,0,Widow,0,0,Indira Gandhi National Old Age Pension
TN-VIR-875597,Virudhunagar,29,Female,MBC,92867,PHH,Illiterate,Agriculture,0.9,Married,0,1,Uzhavar Pathukappu Thittam (Marginal Farmer)
TN-KAN-284213,Kanyakumari,85,Female,MBC,62244,PHH,12th Pass,Unemployed,0,Widow,0,0,Destitute Widow Pension Scheme
TN-DIN-681033,Dindigul,42,Female,General,61375,PHH,10th Pass,Daily Wage,0,Single,0,1,Mahalir Thittam (SHG Loan Scheme)
TN-TEN-684120,Tenkasi,55,Male,BC,101687,PHH,10th Pass,Daily Wage,0,Married,0,0,Kalaignarin Kanavu Illam (Housing)
TN-SIV-191903,Sivaganga,77,Male,MBC,51631,AAY,8th Pass,Unemployed,0,Married,0,0,Indira Gandhi National Old Age Pension
TN-THO-870464,Thoothukudi,38,Female,BC,97437,PHH,Diploma,Weaver,0,Single,0,0,Not Eligible / General Public
TN-THE-449408,Theni,67,Male,MBC,173624,NPHH,Illiterate,Unemployed,0,Married,0,0,Not Eligible / General Public
TN-DIN-264306,Dindigul,82,Male,MBC,120127,NPHH,Illiterate,Unemployed,0,Widow,0,0,Not Eligible / General Public
TN-DIN-311274,Dindigul,17,Male,General,25305,AAY,10th Pass,Student,0,Single,0,0,Not Eligible / General Public
TN-KAN-896731,Kanyakumari,68,Female,BC,133431,NPHH,12th Pass,Unemployed,0,Married,0,0,Not Eligible / General Public
TN-SIV-697675,Sivaganga,56,Male,MBC,30374,AAY,8th Pass,Daily Wage,0,Single,0,0,MGNREGS (100 Days Rural Employment)
TN-TEN-797092,Tenkasi,50,Female,MBC,115463,PHH,10th Pass,Daily Wage,0,Single,0,0,MGNREGS (100 Days Rural Employment)
TN-MAD-435733,Madurai,48,Female,SC,60376,AAY,Diploma,Weaver,0,Married,0,1,Mahalir Thittam (SHG Loan Scheme)
TN-RAM-389501,Ramanathapuram,58,Male,BC,235707,NPHH,Graduate,Daily Wage,0,Married,0,0,MGNREGS (100 Days Rural Employment)
TN-TEN-766965,Tenkasi,73,Male,BC,53374,PHH,8th Pass,Unemployed,0,Married,0,0,Indira Gandhi National Old Age Pension
TN-DIN-463619,Dindigul,71,Male,SC,26378,AAY,Illiterate,Unemployed,0,Married,0,0,Indira Gandhi National Old Age Pension
TN-THO-206796,Thoothukudi,72,Female,BC,77149,PHH,Illiterate,Unemployed,0,Widow,0,1,Destitute Widow Pension Scheme
TN-MAD-887161,Madurai,35,Female,BC,86011,PHH,10th Pass,Daily Wage,0,Married,0,0,Kalaignarin Kanavu Illam (Housing)
TN-SIV-852977,Sivaganga,77,Male,BC,217194,NPHH,10th Pass,Unemployed,0,Married,0,0,Not Eligible / General Public
TN-THO-124297,Thoothukudi,30,Female,SC,36852,PHH,12th Pass,Agriculture,1,Married,0,1,Uzhavar Pathukappu Thittam (Marginal Farmer)
TN-KAN-682084,Kanyakumari,19,Male,ST,50253,PHH,Illiterate,Student,0,Single,0,0,Not Eligible / General Public
TN-MAD-239879,Madurai,23,Female,SC,41497,PHH,Graduate,Agriculture,4.2,Single,0,0,Pudhumai Penn Scheme (Moovalur Ramamirtham)
TN-DIN-993765,Dindigul,74,Female,BC,65851,AAY,8th Pass,Unemployed,0,Married,0,1,Indira Gandhi National Old Age Pension
TN-KAN-835683,Kanyakumari,76,Female,MBC,59015,PHH,10th Pass,Unemployed,0,Widow,0,0,Destitute Widow Pension Scheme
TN-SIV-939214,Sivaganga,75,Female,MBC,60555,PHH,8th Pass,Unemployed,0,Widow,0,0,Destitute Widow Pension Scheme
TN-THO-938785,Thoothukudi,57,Male,General,19229,PHH,Illiterate,Daily Wage,0,Married,0,0,Kalaignarin Kanavu Illam (Housing)
TN-TIR-118162,Tirunelveli,58,Female,BC,62831,AAY,10th Pass,Self-Employed,0,Married,0,0,Not Eligible / General Public
TN-RAM-909485,Ramanathapuram,43,Female,MBC,22481,PHH,Graduate,Daily Wage,0,Married,0,0,Kalaignarin Kanavu Illam (Housing)
TN-DIN-701228,Dindigul,51,Female,MBC,26165,PHH,Graduate,Agriculture,1.5,Single,0,0,Uzhavar Pathukappu Thittam (Marginal Farmer)
TN-RAM-734246,Ramanathapuram,29,Male,MBC,112225,PHH,Graduate,Daily Wage,0,Separated,0,0,MGNREGS (100 Days Rural Employment)
TN-MAD-916218,Madurai,82,Male,BC,23124,PHH,12th Pass,Unemployed,0,Widow,0,0,Indira Gandhi National Old Age Pension
TN-DIN-678369,Dindigul,64,Female,SC,65547,PHH,Illiterate,Weaver,0,Married,0,0,Indira Gandhi National Old Age Pension
TN-TEN-589333,Tenkasi,44,Male,MBC,28961,PHH,8th Pass,Daily Wage,0,Married,0,0,Kalaignarin Kanavu Illam (Housing)
TN-TIR-335960,Tirunelveli,54,Female,BC,18701,PHH,Illiterate,Daily Wage,0,Married,0,0,Kalaignarin Kanavu Illam (Housing)
TN-TIR-198927,Tirunelveli,29,Female,SC,58900,AAY,8th Pass,Agriculture,2.4,Widow,0,0,Destitute Widow Pension Scheme
TN-SIV-672670,Sivaganga,83,Female,MBC,69595,PHH,8th Pass,Unemployed,0,Widow,0,1,Destitute Widow Pension Scheme
TN-KAN-863379,Kanyakumari,78,Male,SC,66673,PHH,10th Pass,Unemployed,0,Married,0,0,Indira Gandhi National Old Age Pension
TN-RAM-144008,Ramanathapuram,65,Male,SC,96663,PHH,Graduate,Unemployed,0,Married,0,0,Indira Gandhi National Old Age Pension
TN-THE-383201,Theni,55,Female,MBC,37573,AAY,8th Pass,Self-Employed,0,Single,0,1,Mahalir Thittam (SHG Loan Scheme)
TN-DIN-661618,Dindigul,71,Male,MBC,110854,PHH,Diploma,Unemployed,0,Married,0,0,Indira Gandhi National Old Age Pension
TN-TIR-843924,Tirunelveli,75,Male,MBC,38399,PHH,12th Pass,Unemployed,0,Married,0,0,Indira Gandhi National Old Age Pension
TN-KAN-554354,Kanyakumari,63,Female,SC,26225,PHH,Graduate,Agriculture,3,Married,0,1,Indira Gandhi National Old Age Pension
TN-MAD-313457,Madurai,72,Male,BC,66413,PHH,10th Pass,Unemployed,0,Married,0,0,Indira Gandhi National Old Age Pension
TN-MAD-154968,Madurai,38,Female,MBC,114037,PHH,8th Pass,Agriculture,4.2,Married,0,1,Mahalir Thittam (SHG Loan Scheme)
TN-MAD-549290,Madurai,56,Male,MBC,81091,PHH,8th Pass,Daily Wage,0,Single,1,0,Differently Abled Pension Scheme
TN-MAD-517079,Madurai,29,Female,MBC,90936,PHH,10th Pass,Agriculture,3.6,Married,0,0,Kalaignarin Kanavu Illam (Housing)
TN-DIN-537060,Dindigul,47,Female,SC,47586,PHH,Illiterate,Agriculture,0.7,Married,0,0,Uzhavar Pathukappu Thittam (Marginal Farmer)
TN-THE-124634,Theni,81,Female,MBC,94080,PHH,8th Pass,Unemployed,0,Married,0,0,Indira Gandhi National Old Age Pension
TN-KAN-858936,Kanyakumari,19,Male,MBC,26570,AAY,10th Pass,Student,0,Single,0,0,Not Eligible / General Public
TN-KAN-159647,Kanyakumari,68,Female,ST,21287,PHH,8th Pass,Unemployed,0,Widow,0,0,Destitute Widow Pension Scheme
TN-TIR-663779,Tirunelveli,53,Female,ST,61220,PHH,12th Pass,Daily Wage,0,Married,0,0,Kalaignarin Kanavu Illam (Housing)
TN-THE-705910,Theni,69,Female,BC,31673,PHH,12th Pass,Unemployed,0,Married,0,0,Indira Gandhi National Old Age Pension
TN-MAD-817999,Madurai,25,Female,SC,84942,PHH,10th Pass,Daily Wage,0,Married,0,0,Kalaignarin Kanavu Illam (Housing)
TN-TIR-412054,Tirunelveli,65,Male,MBC,235692,NPHH,8th Pass,Unemployed,0,Single,0,0,Not Eligible / General Public
TN-THO-639895,Thoothukudi,79,Female,MBC,25844,PHH,12th Pass,Unemployed,0,Married,0,0,Indira Gandhi National Old Age Pension
TN-THE-158263,Theni,79,Female,MBC,64880,PHH,10th Pass,Unemployed,0,Married,0,0,Indira Gandhi National Old Age Pension
TN-RAM-814597,Ramanathapuram,18,Female,SC,71721,PHH,10th Pass,Student,0,Single,0,0,Not Eligible / General Public
TN-TEN-937462,Tenkasi,67,Male,BC,24976,PHH,Illiterate,Unemployed,0,Married,0,0,Indira Gandhi National Old Age Pension
TN-TIR-909103,Tirunelveli,28,Female,MBC,55263,AAY,Illiterate,Daily Wage,0,Married,0,1,Mahalir Thittam (SHG Loan Scheme)
TN-TEN-438622,Tenkasi,43,Female,BC,20509,PHH,8th Pass,Agriculture,1.1,Single,0,0,Uzhavar Pathukappu Thittam (Marginal Farmer)
TN-THE-663623,Theni,20,Female,BC,53919,PHH,12th Pass,Student,0,Single,0,1,Pudhumai Penn Scheme (Moovalur Ramamirtham)
TN-SIV-502192,Sivaganga,78,Male,BC,40566,PHH,10th Pass,Unemployed,0,Widow,0,0,Indira Gandhi National Old Age Pension
TN-THE-135026,Theni,70,Male,SC,43497,PHH,10th Pass,Unemployed,0,Married,0,0,Indira Gandhi National Old Age Pension
TN-TIR-702800,Tirunelveli,45,Male,MBC,66674,PHH,12th Pass,Agriculture,3.8,Married,0,0,Kalaignarin Kanavu Illam (Housing)
TN-KAN-249991,Kanyakumari,37,Male,BC,23834,PHH,10th Pass,Agriculture,1.9,Married,0,0,Uzhavar Pathukappu Thittam (Marginal Farmer)
TN-DIN-830551,Dindigul,64,Female,ST,62682,PHH,12th Pass,Weaver,0,Married,0,1,Indira Gandhi National Old Age Pension
TN-THE-264286,Theni,63,Male,General,53479,AAY,Graduate,Agriculture,4.4,Married,0,0,Indira Gandhi National Old Age Pension
TN-VIR-337668,Virudhunagar,27,Female,SC,46800,PHH,10th Pass,Agriculture,3.6,Married,0,0,Kalaignarin Kanavu Illam (Housing)
TN-SIV-137941,Sivaganga,36,Male,MBC,129213,NPHH,10th Pass,Daily Wage,0,Married,0,0,MGNREGS (100 Days Rural Employment)
TN-TIR-275806,Tirunelveli,40,Female,BC,67938,PHH,10th Pass,Self-Employed,0,Married,0,0,Not Eligible / General Public
TN-DIN-366503,Dindigul,44,Female,SC,50673,PHH,10th Pass,Agriculture,1.3,Single,0,0,Uzhavar Pathukappu Thittam (Marginal Farmer)
TN-SIV-585317,Sivaganga,42,Male,BC,70236,PHH,10th Pass,Daily Wage,0,Single,0,0,MGNREGS (100 Days Rural Employment)
